Location_id,City_name,Street_Adress,Postal_Code,Country_name,
1,Dhaka,Bashundhara R/A,1229,Bangladesh,
2,Dhaka,Mirpur-10,1216,Bangladesh,
3,Dhaka,Uttara,1230,Bangladesh,
4,Dhaka,Basabo,1214,Bangladesh,
5,Dhaka,Kallyanpur,1216,Bangladesh,
6,Dhaka,Mohammadpur,1207,Bangladesh,
7,Gazipur,Chowrasta,1702,Bangladesh,
8,Dhaka,Mirpur-2,1216,Bangladesh,
9,Dhaka,Nikunja,1226,Bangladesh,
10,Dhaka,Shiddeshwary Road,1217,Bangladesh,
11,Dhaka,Jatrabari,1232,Bangladesh,
12,Narayanganj,Chittagang Road,4000,Bangladesh,
13,Dhaka,Dhanmondi,1209,Bangladesh,
14,Dhaka,Mirpur DOHS,1216,Bangladesh,
15,Dhaka,Adabar,1207,Bangladesh,
16,Dhaka,Khilgaon,1219,Bangladesh,
17,Dhaka,Banasree,1219,Bangladesh,
18,Dhaka,Rampura,1219,Bangladesh,
19,Dhaka,Elephant road,1205,Bangladesh,
20,Dhaka,Paltan,1000,Bangladesh,
21,Dhaka,Badda,1219,Bangladesh,
22,Dhaka,Wari,1203,Bangladesh,
23,Dhaka,Kalachadpur,1229,Bangladesh,
24,Dhaka,Shyamoli,1207,Bangladesh,
25,Dhaka,Kawranbazar,1215,Bangladesh,
26,Gazipur,Tongi,1230,Bangladesh,
27,Dhaka,Khilkhet,1229,Bangladesh,
28,Dhaka,Savar,1340,Bangladesh,
29,Dhaka,Shahjahanpur,1217,Bangladesh,
30,Dhaka,Baridhara,1212,Bangladesh,
31,Dhaka,Narinda,1203,Bangladesh,
32,Dhaka,Keraniganj,1310,Bangladesh,
33,Dhaka,Kuril,1229,Bangladesh,
34,Dhaka,Nodda,1212,Bangladesh,
35,Dhaka,Indira Road,1215,Bangladesh,
36,Dhaka,Mirbagh,1219,Bangladesh,
37,Narsingdhi,Narsingdhi Sadar,1600,Bangladesh,
38,Dhaka,Nakhal Para,1215,Bangladesh,
39,Dhaka,Puran Dhaka,1204,Bangladesh,
40,Dhaka,Shegunbhagica,1000,Bangladesh,
41,Dhaka,Niketon,1219,Bangladesh,
42,Dhaka,Malibagh,1217,Bangladesh,
43,Dhaka,DhakaCantonment,1206,Bangladesh,
44,Dhaka,Kalabagan,1205,Bangladesh,
45,Dhaka,Mugdha,1212,Bangladesh,
46,Dhaka,Hatirpool,1205,Bangladesh,
47,Dhaka,Tejgaon,1205,Bangladesh,
48,Dhaka,ECB Chottor,1216,Bangladesh,
49,Dhaka,Gandaria,1203,Bangladesh,
50,Munshiganj,Munshiganj Sadar,1500,Bangladesh,
51,Dhaka,Shantinagar,1217,Bangladesh,
52,Dhaka,Demra,1360,Bangladesh,
53,Dhaka,Moghbazar,1217,Bangladesh,
54,Dhaka,Manikdi,1206,Bangladesh,
55,Dhaka,Motijhil,1222,Bangladesh,
56,Dhaka,Kamrangircar,1211,Bangladesh,
57,Dhaka,Gulshan,1212,Bangladesh,
58,Dhaka,Amin Bazar,1348,Bangladesh,
59,Dhaka,Faridabad,1204,Bangladesh,
60,Dhaka,Shahjadpur,1229,Bangladesh,
61,Dhaka,Shekertek,1207,Bangladesh,
62,Dhaka,Azimpur,1205,Bangladesh,
63,Dhaka,Rupnagar,1205,Bangladesh,
64,Dhaka,Baiy Road,1217,Bangladesh,
65,Dhaka,Kafrul,1206,Bangladesh,
66,Dhaka,Ibrahimpur,1206,Bangladesh,
67,Dhaka,Monipur,1205,Bangladesh,
68,Dhaka,Natun bazar,1216,Bangladesh,
69,Dhaka,Shahid Minar,1000,Bangladesh,
70,Dhaka,Farmgate,1205,Bangladesh,
71,Dhaka,Zoar Sahara Bazar,1212,Bangladesh,
72,Dhaka,Vasantek,1230,Bangladesh,
73,Dhaka,Mohakhali,1212,Bangladesh,
74,Gajipur,Kaliakair,1750,Bangladesh,
75,Dhaka,Hazaribagh,1209,Bangladesh,
76,Dhaka,Green Road,1205,Bangladesh,
77,Dhaka,Kakrail,1205,Bangladesh,
78,Dhaka,Banani,1213,Bangladesh,
79,Dhaka,Bangla Bazar,1100,Bangladesh,
80,Dhaka,Bijoy Sharani,1225,Bangladesh,
81,Dhaka,Bangla Motor,1215,Bangladesh,
82,Dhaka,Sutrapur,1100,Bangladesh,
83,Chittagong,Razakhali,4217,Bangladesh,
84,Dhaka,Manik Nagar,1216,Bangladesh,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
